Outstation,ModulesRef,ModuleLabel,Type,Value,Time,Transition,CurrentState
17,I29,AHU30 Supply Flow Fail,On,0.000000,2023/04/07 22:05:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/04/07 22:10:01,Cleared,Waiting
14,I31,KS05 Supply Filter Dirty,On,0.000000,2023/04/07 22:45:08,Cleared,Waiting
11,I39,AHU32 Supply Flow Fail,On,0.000000,2023/04/07 23:05:01,Cleared,Waiting
17,I27,SF01 Fan Flow Fail,On,0.000000,2023/04/07 23:10:02,Cleared,Waiting
11,I54,AHU9 Duty Fan Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I78,AHU CHW CT Pump 1+2 Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I77,AHU CHW CT Duty Pump Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I70,Chiller 3 Shunt Pump 1+2 Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I69,Chiller 3 Duty Shunt Pump Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I66,Chiller 2 Shunt Pump 1+2 Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I63,Chiller 2 Duty Shunt Pump Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I45,Chiller 1 Shunt Pump 1+2 Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I44,Chiller 1 Duty Shunt Pump Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I59,AHU LPHW CT Pump 1+2 Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I58,AHU LPHW CT Duty Pump Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I56,East LPHW CT Duty Pump Fail,On,0.000000,2023/04/08 00:00:00,Cleared,Waiting
19,I70,Chiller 3 Shunt Pump 1+2 Fail,On,1.000000,2023/04/08 00:01:13,Occurred,Waiting
19,I69,Chiller 3 Duty Shunt Pump Fail,On,1.000000,2023/04/08 00:01:13,Occurred,Waiting
19,I63,Chiller 2 Duty Shunt Pump Fail,On,1.000000,2023/04/08 00:01:14,Occurred,Waiting
19,I66,Chiller 2 Shunt Pump 1+2 Fail,On,1.000000,2023/04/08 00:01:14,Occurred,Waiting
19,I45,Chiller 1 Shunt Pump 1+2 Fail,On,1.000000,2023/04/08 00:01:15,Occurred,Waiting
19,I44,Chiller 1 Duty Shunt Pump Fail,On,1.000000,2023/04/08 00:01:15,Occurred,Waiting
19,I56,East LPHW CT Duty Pump Fail,On,1.000000,2023/04/08 00:02:02,Occurred,Waiting
19,I77,AHU CHW CT Duty Pump Fail,On,1.000000,2023/04/08 00:17:02,Occurred,Waiting
19,I78,AHU CHW CT Pump 1+2 Fail,On,1.000000,2023/04/08 00:17:02,Occurred,Waiting
19,I59,AHU LPHW CT Pump 1+2 Fail,On,1.000000,2023/04/08 00:17:02,Occurred,Waiting
19,I58,AHU LPHW CT Duty Pump Fail,On,1.000000,2023/04/08 00:17:02,Occurred,Waiting
14,I31,KS05 Supply Filter Dirty,On,1.000000,2023/04/08 04:01:18,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/04/08 04:02:01,Occurred,Waiting
17,I27,SF01 Fan Flow Fail,On,1.000000,2023/04/08 05:02:22,Occurred,Waiting
11,I54,AHU9 Duty Fan Fail,On,1.000000,2023/04/08 05:52:18,Occurred,Waiting
14,I4,AHU19 Supply Filter Dirty,On,1.000000,2023/04/08 06:26:22,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/04/08 06:37:03,Occurred,Waiting
14,I40,AHU20 ExtractFlow Fail,On,1.000000,2023/04/08 06:37:11,Occurred,Waiting
11,I25,AHU4 Supply Flow Fail,On,0.000000,2023/04/08 07:00:01,Cleared,Waiting
11,I39,AHU32 Supply Flow Fail,On,1.000000,2023/04/08 07:02:02,Occurred,Waiting
11,I26,AHU4 ExtractFlow Fail,On,1.000000,2023/04/08 07:02:02,Occurred,Waiting
17,I29,AHU30 Supply Flow Fail,On,1.000000,2023/04/08 07:02:02,Occurred,Waiting
19,I78,AHU CHW CT Pump 1+2 Fail,On,0.000000,2023/04/08 07:16:02,Cleared,Waiting
11,I26,AHU4 ExtractFlow Fail,On,0.000000,2023/04/08 07:30:01,Cleared,Waiting
11,I25,AHU4 Supply Flow Fail,On,1.000000,2023/04/08 07:37:02,Occurred,Waiting
19,I78,AHU CHW CT Pump 1+2 Fail,On,1.000000,2023/04/08 07:38:04,Occurred,Waiting
17,I29,AHU30 Supply Flow Fail,On,0.000000,2023/04/08 08:05:01,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/04/08 12:41:52,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/04/08 12:41:52,Cleared,Waiting
14,I4,AHU19 Supply Filter Dirty,On,0.000000,2023/04/08 12:41:52,Cleared,Waiting
14,I40,AHU20 ExtractFlow Fail,On,0.000000,2023/04/08 12:41:52,Cleared,Waiting
17,I24,GV2 Gas Safety Active,On,1.000000,2023/04/08 12:41:52,Occurred,Waiting
14,I31,KS05 Supply Filter Dirty,On,0.000000,2023/04/08 12:41:57,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/04/08 12:42:51,Occurred,Waiting
19,I3,Gas Safety Active,On,1.000000,2023/04/08 12:42:53,Occurred,Waiting
11,I21,Fire Alarm Active,On,1.000000,2023/04/08 12:42:54,Occurred,Waiting
17,I26,Non Food Flow Fail,On,1.000000,2023/04/08 12:42:54,Occurred,Waiting
14,I47,KS05 Supply Flow Fail,On,1.000000,2023/04/08 12:43:53,Occurred,Waiting
14,I43,AHU22 Supply Flow Fail,On,1.000000,2023/04/08 12:43:53,Occurred,Waiting
14,I45,AHU23 Supply Flow Fail,On,1.000000,2023/04/08 12:43:53,Occurred,Waiting
14,I39,AHU20 Supply Flow Fail,On,1.000000,2023/04/08 12:43:53,Occurred,Waiting
14,I37,AHU19 Supply Flow Fail,On,1.000000,2023/04/08 12:43:53,Occurred,Waiting
17,I39,KS02-01 Supply Flow Fail,On,1.000000,2023/04/08 12:43:54,Occurred,Waiting
17,I33,AHU31 Supply Flow Fail,On,1.000000,2023/04/08 12:43:54,Occurred,Waiting
17,I38,KS01 Supply Flow Fail,On,1.000000,2023/04/08 12:43:54,Occurred,Waiting
11,I39,AHU32 Supply Flow Fail,On,0.000000,2023/04/08 12:46:55,Cleared,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/04/08 12:47:46,Cleared,Waiting
19,I3,Gas Safety Active,On,0.000000,2023/04/08 12:47:46,Cleared,Waiting
11,I21,Fire Alarm Active,On,0.000000,2023/04/08 12:47:50,Cleared,Waiting
17,I39,KS02-01 Supply Flow Fail,On,0.000000,2023/04/08 12:47:51,Cleared,Waiting
17,I33,AHU31 Supply Flow Fail,On,0.000000,2023/04/08 12:47:51,Cleared,Waiting
14,I47,KS05 Supply Flow Fail,On,0.000000,2023/04/08 12:47:52,Cleared,Waiting
17,I26,Non Food Flow Fail,On,0.000000,2023/04/08 12:47:52,Cleared,Waiting
14,I45,AHU23 Supply Flow Fail,On,0.000000,2023/04/08 12:47:55,Cleared,Waiting
14,I43,AHU22 Supply Flow Fail,On,0.000000,2023/04/08 12:47:55,Cleared,Waiting
14,I39,AHU20 Supply Flow Fail,On,0.000000,2023/04/08 12:47:56,Cleared,Waiting
17,I24,GV2 Gas Safety Active,On,0.000000,2023/04/08 12:47:59,Cleared,Waiting
14,I37,AHU19 Supply Flow Fail,On,0.000000,2023/04/08 12:48:04,Cleared,Waiting
17,I38,KS01 Supply Flow Fail,On,0.000000,2023/04/08 12:48:11,Cleared,Waiting
14,I31,KS05 Supply Filter Dirty,On,1.000000,2023/04/08 12:49:03,Occurred,Waiting
14,I4,AHU19 Supply Filter Dirty,On,1.000000,2023/04/08 12:49:07,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/04/08 12:49:48,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/04/08 12:49:49,Occurred,Waiting
11,I39,AHU32 Supply Flow Fail,On,1.000000,2023/04/08 12:49:51,Occurred,Waiting
14,I40,AHU20 ExtractFlow Fail,On,1.000000,2023/04/08 12:49:57,Occurred,Waiting
14,I16,AHU21 Supply Filter Dirty,On,1.000000,2023/04/08 13:56:28,Occurred,Waiting
17,I24,GV2 Gas Safety Active,On,1.000000,2023/04/08 13:59:40,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/04/08 13:59:44,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/04/08 13:59:44,Cleared,Waiting
14,I4,AHU19 Supply Filter Dirty,On,0.000000,2023/04/08 13:59:44,Cleared,Waiting
14,I16,AHU21 Supply Filter Dirty,On,0.000000,2023/04/08 13:59:44,Cleared,Waiting
14,I40,AHU20 ExtractFlow Fail,On,0.000000,2023/04/08 13:59:44,Cleared,Waiting
14,I31,KS05 Supply Filter Dirty,On,0.000000,2023/04/08 13:59:49,Cleared,Waiting
17,I24,GV2 Gas Safety Active,On,0.000000,2023/04/08 14:00:05,Cleared,Waiting
14,I31,KS05 Supply Filter Dirty,On,1.000000,2023/04/08 14:01:08,Occurred,Waiting
14,I4,AHU19 Supply Filter Dirty,On,1.000000,2023/04/08 14:01:14,Occurred,Waiting
14,I16,AHU21 Supply Filter Dirty,On,1.000000,2023/04/08 14:01:16,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/04/08 14:01:55,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/04/08 14:01:56,Occurred,Waiting
14,I40,AHU20 ExtractFlow Fail,On,1.000000,2023/04/08 14:02:04,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/04/08 14:11:48,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/04/08 14:11:48,Cleared,Waiting
14,I4,AHU19 Supply Filter Dirty,On,0.000000,2023/04/08 14:11:48,Cleared,Waiting
14,I16,AHU21 Supply Filter Dirty,On,0.000000,2023/04/08 14:11:48,Cleared,Waiting
14,I40,AHU20 ExtractFlow Fail,On,0.000000,2023/04/08 14:11:48,Cleared,Waiting
17,I24,GV2 Gas Safety Active,On,1.000000,2023/04/08 14:11:48,Occurred,Waiting
14,I31,KS05 Supply Filter Dirty,On,0.000000,2023/04/08 14:11:53,Cleared,Waiting
17,I24,GV2 Gas Safety Active,On,0.000000,2023/04/08 14:12:10,Cleared,Waiting
14,I31,KS05 Supply Filter Dirty,On,1.000000,2023/04/08 14:13:13,Occurred,Waiting
14,I4,AHU19 Supply Filter Dirty,On,1.000000,2023/04/08 14:13:19,Occurred,Waiting
14,I16,AHU21 Supply Filter Dirty,On,1.000000,2023/04/08 14:13:21,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/04/08 14:14:00,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/04/08 14:14:00,Occurred,Waiting
14,I40,AHU20 ExtractFlow Fail,On,1.000000,2023/04/08 14:14:09,Occurred,Waiting
17,I24,GV2 Gas Safety Active,On,1.000000,2023/04/08 14:20:45,Occurred,Waiting
17,I24,GV2 Gas Safety Active,On,0.000000,2023/04/08 14:20:46,Cleared,Waiting
17,I24,GV2 Gas Safety Active,On,1.000000,2023/04/08 14:23:21,Occurred,Waiting
17,I24,GV2 Gas Safety Active,On,0.000000,2023/04/08 14:23:22,Cleared,Waiting
13,I52,AHU15 Supply Flow Fail,On,1.000000,2023/04/08 16:32:49,Occurred,Waiting
19,I78,AHU CHW CT Pump 1+2 Fail,On,0.000000,2023/04/08 19:16:08,Cleared,Waiting
19,I78,AHU CHW CT Pump 1+2 Fail,On,1.000000,2023/04/08 19:38:11,Occurred,Waiting
11,I25,AHU4 Supply Flow Fail,On,0.000000,2023/04/08 21:00:00,Cleared,Waiting
11,I26,AHU4 ExtractFlow Fail,On,1.000000,2023/04/08 21:02:01,Occurred,Waiting
17,I29,AHU30 Supply Flow Fail,On,1.000000,2023/04/08 21:02:01,Occurred,Waiting
11,I26,AHU4 ExtractFlow Fail,On,0.000000,2023/04/08 21:25:01,Cleared,Waiting
11,I25,AHU4 Supply Flow Fail,On,1.000000,2023/04/08 21:32:04,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/04/08 22:05:01,Cleared,Waiting
17,I29,AHU30 Supply Flow Fail,On,0.000000,2023/04/08 22:05:02,Cleared,Waiting
13,I52,AHU15 Supply Flow Fail,On,0.000000,2023/04/08 22:55:02,Cleared,Waiting
11,I39,AHU32 Supply Flow Fail,On,0.000000,2023/04/08 23:05:02,Cleared,Waiting
17,I27,SF01 Fan Flow Fail,On,0.000000,2023/04/08 23:10:02,Cleared,Waiting
